production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,imdb_score
75000000,85632458,2003,2.35,142,16580,6.6
75000000,72785169,2006,1.85,110,5609,5.6
75000000,54344321,2004,1.85,131,12522,6.5
75000000,71523271,2001,2.35,123,13934,6.6
75000000,39251128,1999,2.35,148,804,6.7
75000000,89758389,2011,2.35,128,7067,6.1
75000000,77636443,2005,2.35,113,103354,6.6
75000000,50409753,2003,2.35,116,14028,5.3
75000000,36751979,2000,2.35,94,15857,6.6
75000000,34009180,2004,2.35,113,4397,6.1
75000000,14623082,1998,2.35,99,2542,6
75000000,5409517,2001,1.85,93,5580,4.7
74000000,1163624481,2015,1.85,91,13616,6.4
74000000,311594032,2015,1.85,92,5217,6
73243106,248099143,2000,2.35,106,33645,7.2
73000000,162870525,2006,2.35,122,12410,6.6
73000000,346634366,2016,1.85,97,24350,6.3
73000000,103891409,1998,2.35,98,15269,5.9
73000000,50168294,1998,2.35,134,1044,6
72500000,527071022,2007,2.35,87,3086,7.4
72500000,109362966,2008,2.35,112,13827,5.6
72500000,71880305,2009,1.85,153,11852,6.4
72500000,86509602,2007,2.35,110,5187,7.1
72000000,209045647,1995,2.35,178,1976,8.4
72000000,96947540,2005,2.35,125,15850,7.1
72000000,54616869,2001,2.35,116,14780,4.5
72000000,37306334,2001,1.85,152,4310,6.9
72000000,62176754,2004,2.35,109,55,7.1
71682975,257641634,2004,1.85,108,7273,6.5
70702619,408265690,2002,1.85,106,1675,6.7
70000000,937008132,2004,1.85,93,1148,7.2
70000000,443483213,2009,1.85,88,5227,4.5
70000000,310138178,1999,2.35,116,12790,5.5
70000000,267200000,2002,2.35,132,14790,5.8
70000000,308700000,1996,1.85,139,3667,6.6
70000000,300854823,1991,2.35,142,64259,6.7
70000000,239814025,1990,2.35,124,16595,7.1
70000000,207154748,2003,2.35,117,14486,6
70000000,207068340,2002.130733,16,45,1430,7.5
70000000,202726605,2001,1.85,141,11458,6.9
70000000,150562164,2013,2.35,119,31782,6.5
70000000,213463976,2011,2.35,116,4001,5.8
70000000,172543519,2004,2.35,109,3222,5.6
70000000,156815529,2011,2.35,146,46726,7.2
70000000,114658262,2002,2.35,124,6181,7.1
70000000,158702748,2014,2.35,118,27674,6.1
70000000,117800000,1998,2.35,103,6207,6.4
70000000,123954323,2003,1.37,125,16138,8
70000000,131011757,1994,1.85,125,1439,6.2
70000000,160379930,2012,2.35,88,5861,6.4
70000000,216821942,2014,2.35,92,5178,6.3
70000000,54243125,1989,2.35,171,4074,7.6
70000000,137431619,2010,2.35,136,1579,6.3
70000000,70546865,2011,2.35,111,18510,5.3
70000000,116625798,1998,2.35,116,32563,6.3
70000000,137022245,2007,2.35,127,16034,7.7
70000000,61031932,2012,2.35,136,712,5.9
70000000,131445884,1997,2.35,136,12226,7
70000000,49730854,2004,1.85,106,12871,6.1
70000000,69157016,2002,2.35,116,12993,5.6
70000000,54612337,2005,2.35,113,13517,5.2
70000000,48197252,2016,2.35,117,3524,6.8
70000000,103735965,2013,2.35,115,15708,6.7
70000000,65409046,2011,2.35,116,49608,6.5
70000000,19870567,1998,2.35,97,13628,5.8
70000000,33076815,2002,2.35,125,15916,6.3
70000000,25852508,2002,2.35,98,2763,3
70000000,61402445,2014,2.35,99,1520,4.2
70000000,14294842,2002,2.35,91,1846,3.6
70000000,13596911,2001,2.35,95,3734,6.2
70000000,20107933,2013,2.126976154,88,6946,5.6
70000000,19535476,2015,2.35,133,28129,5.4
70000000,35417162,2006,2.35,116,1899,4.2
69000000,543495033,2010,1.85,87,11608,7.7
69000000,86796502,2010,1.85,114,10419,5.9
68000000,706102828,2010,2.35,124,52547,4.9
68000000,193500000,2002,2.35,124,12556,6.4
68000000,216500183,2015,2.35,125,30010,6.4
68000000,87173475,2011,2.35,111,3393,5.9
68000000,77224232,1995,2.35,105,1132,5.6
68000000,75685268,2003,2.35,136,12194,5.5
68000000,33462011,1999,1.85,121,3986,6
68000000,60265197,1999,2.35,157,18216,7.9
67500000,118556530,2008,2.35,128,29824,7.1
67500000,137489730,2012,2.35,105,8281,5.9
67000000,18115927,2002.130733,16,30,2465,7.4
67000000,25357771,2007,2.35,102,14625,5.4
66000000,211700000,1999,2.35,113,1302,6.2
66000000,194169619,2014,2.35,132,7081,6.5
65000000,485035085,1998,1.85,169,44998,8.6
65000000,374105123,2000,1.37,127,5838,6.4
65000000,273346281,2012,2.35,150,25517,7.4
65000000,386116343,2002,1.85,103,5437,7.6
65000000,334100000,1995,2.35,140,17171,7.6
65000000,463517383,1999,2.35,136,18563,8.7
